name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Premier Inn Harlow North (Harlow Mill) hotel,ChIJme3uvLCb2EcRl1cjW6qpAWU,"Cambridge Road, Harlow",51.79467289999999,0.1299197,3.9,695,,"lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
Hunters Meet,ChIJEVrwZ2CQ2EcRN91eD0UUskY,"Chelmsford Road, Bishop's Stortford",51.81253160000001,0.2128292,4.4,665,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Hanbury Manor Marriott Hotel & Country Club,ChIJB5cdmwwndkgROqilGWxL-W0,Ware,51.8288356,-0.04063720000000001,4.4,1922,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
The PitStop,ChIJ4bzqZaKa2EcR3FhSWsqMGQ4,"The Morgan Garage, Bishop's Stortford",51.83109439999999,0.1823028,3.4,78,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Stansted Lodge Elsenham,ChIJrbif-CGP2EcRhWNUd0-kPMU,"1 Mill Close, Bishop's Stortford",51.9126467,0.2292374,4.4,176,,"airport, lodging, point_of_interest, establishment",OPERATIONAL,,,
The Jolly Brewers,ChIJl5-0eDmF2EcRJzhdXhLq4qM,"170 South Street, Bishop's Stortford",51.8649575,0.1613151,4.2,236,,"bar, point_of_interest, establishment",OPERATIONAL,,,
Roydon Marina Village,ChIJn-mZ_tud2EcRzeiw24PwzDI,"Roydon Marina Village, Roydon",51.773564,0.03135230000000001,4.2,664,,"lodging, store, point_of_interest, establishment",OPERATIONAL,,,
Great Hallingbury Manor,ChIJvYGuG-yP2EcRva57gMpX1c0,"Great Hallingbury, Bishop's Stortford",51.8669658,0.209886,3.8,760,,"lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
"Down Hall Hotel, Spa, Estate",ChIJERa4cZGQ2EcRvs-gI7T5vcc,"Matching Road, Hatfield Heath, Bishop's Stortford",51.79609999999999,0.2067917,4.3,1579,,"spa, lodging, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
Bishop's Stortford,ChIJJfddF5KP2EcR3idfmavhxNo,Bishop's Stortford,51.8721635,0.1536502,,,,"locality, political",,,,
The Swan,ChIJwWCznHOL2EcR_Vp07Mo4j7s,"Bull Ring, Thaxted, Dunmow",51.95465169999999,0.3415703999999999,4.1,744,2,"restaurant, food, bar, point_of_interest, establishment",OPERATIONAL,,,
Latchmead Bed & Breakfast,ChIJGzk1kraa2EcRS-CvsxjMivU,"Latchmead, Port Lane, Little Hallingbury, Bishop's Stortford",51.8458,0.17037,4.9,18,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Holiday Inn Express London - Stansted Airport by IHG,ChIJCQ7QgEiO2EcR26Hik7sU_k0,"Thremhall Avenue, Airport, London, Stansted",51.8764644,0.2469352,3.9,3222,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
