name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Pizza Line,ChIJDQYCkD2F2EcRkcA_aAFaAtQ,"40 North St, Bishop's Stortford CM23 2LR, UK",51.8726761,0.1584768,4.5,2,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 467676,,
Huckleberrys (Huckleberry Chicken) Bishops Stortford,ChIJA4l1iD2F2EcRhrCV1tn_k5U,"3 Northgate End, Bishop's Stortford CM23 2ET, UK",51.8731781,0.1584799,3.3,204,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503547,https://huckleberrybishopsstortford.co.uk/,
Pircio,ChIJI5fjTDyF2EcRSpBEz4FzwoI,"Drill Hall, Market Square, Bishop's Stortford CM23 3UU, UK",51.87048669999999,0.1587132,4.6,2062,2,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 898181,http://pirciorestaurant.com/,
Rustico,ChIJadgcNzyF2EcR38CPS0R_l6Q,"5 Church St, Bishop's Stortford CM23 2LY, UK",51.8701491,0.1593168,4.5,61,2,"store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 506442,https://2map.top/rustico,
Papa Johns Pizza,ChIJvZT0ODyF2EcRU1ZoWGpOxUQ,"2D Apton Rd, Bishop's Stortford CM23 3SN, UK",51.8698798,0.1592767,3,144,2,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 465656,https://www.papajohns.co.uk/stores/bishops-stortford?utm_source=yext-google-my-business&utm_medium=organic&utm_campaign=local-listing,
Petrucci's Artisan Stonebaked Pizza,ChIJ9b6OBycndkgR5eGOJy79e6E,"23 Potter St, Bishop's Stortford CM23 3UH, UK",51.8702507,0.1597888,4.7,168,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 755899,https://www.petruccispizza.co.uk/,
Cibo,ChIJ1f0-qD6F2EcRmNVoDQOII7c,"34 South St, Bishop's Stortford CM23 3AZ, UK",51.8686503,0.160489,4.4,511,2,"cafe, bar, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653068,http://www.cibosiciliankitchen.co.uk/,
The Port Jackson - JD Wetherspoon,ChIJifhfvD6F2EcRV490ihfhkIE,"Ground Floor Units D1/D2, Block D, Riverside Wharf, Riverside, Bishop's Stortford CM23 3GN, UK",51.86909379999999,0.1617287,4.2,2975,1,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 714460,https://www.jdwetherspoon.com/pubs/the-port-jackson-bishops-stortford/,
Skew Restaurant & Cocktail Bar,ChIJE5NIwD6F2EcRCKV1_ePuixs,"4 Adderley Rd, Bishop's Stortford CM23 3AE, UK",51.8691852,0.1622287,4.5,900,2,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653635,https://www.skewrestaurant.com/,
Britannia Fast Food & Noodles Bar,ChIJZfxeRDiF2EcR3VmC-jwIkZA,"Millers Three, 3 Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8644188,0.163737,4.2,13,,"meal_delivery, restaurant, food, point_of_interest, establishment",CLOSED_TEMPORARILY,01279 755615,,
